Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2022-07-29 06:42:14,false,"Marseille - PMA 4x5X3030","37,54","823","01:26:26","139","169","--","0","0","26,1","59,8","502","636","0,00","0,0","0,0","0","80","116","207","52% G / 48% D","93,5","193","181","549","0,0","0,0","6452","0","0","0","0:00","18,0","0:00","Non","00:00.53.7","45","24,0","--","--","--","01:26:20","01:27:40","47","313"
Cyclisme sur route,2022-07-24 07:01:17,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","90,16","2.121","03:22:24","143","166","--","0","0","26,7","61,1","1.509","1.511","0,00","0,0","0,0","0","81","127","202","52% G / 48% D","209,9","227","191","477","0,0","0,0","15355","0","0","0","0:00","9,0","0:00","Non","03:22:24.06.7","1","21,0","--","--","--","03:22:21","03:30:10","547","1.156"
Cyclisme sur route,2022-07-22 07:09:02,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","74,13","1.765","02:44:09","146","171","--","0","0","27,1","59,9","1.288","1.282","0,00","0,0","0,0","0","82","122","211","50% G / 50% D","185,3","230","199","616","0,0","0,0","12367","0","0","0","0:00","12,0","0:00","Non","02:44:08.92.4","1","23,0","--","--","--","02:44:09","02:44:09","437","847"
Cyclisme sur route,2022-07-19 07:48:48,false,"Fontcouverte-la-Toussuire Cyclisme sur route","105,58","2.962","05:40:24","143","173","--","0","0","18,6","63,2","4.176","4.174","0,00","0,0","0,0","0","77","128","180","51% G / 49% D","281,2","227","182","442","0,0","0,0","21399","0","0","0","0:00","19,0","0:00","Non","05:40:23.51.7","1","46,0","--","--","--","05:38:35","06:17:27","448","1.992"
Cyclisme sur route,2022-07-16 07:58:03,false,"Fontcouverte-la-Toussuire Cyclisme sur route","85,54","2.444","04:18:43","145","172","--","0","0","19,8","58,4","2.466","2.485","0,00","0,0","0,0","0","75","123","195","51% G / 49% D","250,7","239","198","443","0,0","0,0","15819","0","0","0","0:00","15,0","0:00","Non","04:18:43.00.7","1","35,0","--","--","--","04:17:46","04:35:56","571","2.102"
Cyclisme sur route,2022-07-12 17:28:50,false,"Marseille Cyclisme sur route","49,28","1.072","01:51:05","136","175","--","0","0","26,6","60,4","804","802","0,00","0,0","0,0","0","83","126","196","51% G / 49% D","108,4","213","177","484","0,0","0,0","8573","0","0","0","0:00","25,0","0:00","Non","01:51:04.77.4","1","31,0","--","--","--","01:51:02","01:51:16","39","335"
Cyclisme sur route,2022-07-10 07:00:56,false,"Briançon Cyclisme sur route","164,65","4.388","07:37:08","152","173","--","0","0","21,6","69,8","4.700","3.844","0,00","0,0","0,0","0","79","131","186","51% G / 49% D","402,5","228","160","686","0,0","0,0","32086","0","0","0","0:00","5,0","0:00","Non","07:37:07.79.6","1","39,0","--","--","--","07:34:07","08:01:24","563","2.586"
Cyclisme sur route,2022-07-09 08:34:30,false,"Le Monêtier-les-Bains Cyclisme sur route","39,20","749","01:44:04","0","0","--","0","0","22,6","64,8","672","668","0,00","0,0","0,0","0","76","121","162","52% G / 48% D","69,0","188","120","676","0,0","0,0","6566","0","0","0","0:00","16,0","0:00","Non","01:44:04.17.2","1","27,0","--","--","--","01:43:37","02:07:21","1.382","2.026"
Cyclisme sur route,2022-07-08 06:04:46,false,"Marseille - Seuil/fsm prog 3x8","37,96","865","01:28:16","141","170","--","0","0","25,8","59,8","713","742","0,00","0,0","0,0","0","78","129","207","50% G / 50% D","96,1","202","164","573","0,0","0,0","6056","0","0","0","0:00","15,0","0:00","Non","00:00.00","11","22,0","--","--","--","01:08:34","01:28:16","52","323"
Cyclisme,2022-07-06 07:24:59,false,"Seuil/fsm prog 3x8","0,00","649","00:59:40","146","176","4,6","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","04:00.00","11","0,0","--","--","--","00:00:00","00:59:53","--","--"
Cyclisme sur route,2022-07-03 11:37:19,false,"Marseille Cyclisme sur route","115,93","2.318","04:09:23","140","172","--","0","0","27,9","69,8","1.446","1.454","0,00","0,0","0,0","0","84","144","192","51% G / 49% D","234,2","212","155","601","0,0","0,0","18915","0","0","0","0:00","17,0","0:00","Non","04:09:22.68.4","1","33,0","--","--","--","04:09:04","04:48:31","35","455"
Cyclisme sur route,2022-07-01 06:16:47,false,"Marseille - Seuil prog 3x8-1","49,60","1.158","01:49:54","143","176","--","0","0","27,1","59,9","907","960","0,00","0,0","0,0","0","81","118","220","51% G / 49% D","135,2","220","176","624","0,0","0,0","8148","0","0","0","0:00","15,0","0:00","Non","00:00.00","11","21,0","--","--","--","01:08:33","01:49:54","66","344"
Cyclisme,2022-06-30 07:39:05,false,"FSM 6X3min","0,00","519","00:54:47","134","169","3,4","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","19","0,0","--","--","--","00:00:00","00:55:41","--","--"
Cyclisme,2022-06-29 07:08:38,false,"Seuil prog 3x8-1","0,00","527","00:45:21","151","177","4,3","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:01.68","11","0,0","--","--","--","00:00:00","00:45:21","--","--"
Cyclisme sur route,2022-06-26 12:35:02,false,"Marseille Cyclisme sur route","120,18","2.725","04:47:14","142","173","--","0","0","25,1","63,3","2.149","2.204","0,00","0,0","0,0","0","79","124","190","52% G / 48% D","261,6","216","158","523","0,0","0,0","20322","0","0","0","0:00","20,0","0:00","Non","04:47:13.81.4","1","35,0","--","--","--","04:46:34","05:28:08","27","695"
Cyclisme sur route,2022-06-24 07:56:43,false,"Marseille - Seuil prog 3x7-1","36,96","859","01:30:19","138","171","--","0","0","24,6","59,1","688","716","0,00","0,0","0,0","0","79","116","207","51% G / 49% D","98,1","202","159","613","0,0","0,0","6382","0","0","0","0:00","19,0","0:00","Non","00:00.00","11","22,0","--","--","--","01:06:05","01:30:19","47","318"
Cyclisme sur route,2022-06-22 10:57:24,false,"Marseille - Seuil prog 3x7-1","27,27","606","01:05:36","137","173","--","0","0","24,9","59,1","469","517","0,00","0,0","0,0","0","76","117","214","50% G / 50% D","75,9","204","155","452","0,0","0,0","4371","0","0","0","0:00","20,0","0:00","Non","00:00.00","11","31,0","--","--","--","01:00:13","01:06:19","40","240"
Cyclisme sur route,2022-06-20 08:01:50,false,"Marseille Cyclisme sur route","56,96","1.225","02:16:45","132","161","--","0","0","25,0","59,9","919","924","0,00","0,0","0,0","0","82","129","178","51% G / 49% D","110,4","191","149","744","0,0","0,0","10541","0","0","0","0:00","23,0","0:00","Non","02:16:45.11.6","1","27,0","--","--","--","02:16:42","02:17:41","49","341"
Cyclisme sur route,2022-06-19 07:41:01,false,"Marseille Cyclisme sur route","57,71","1.473","02:29:17","140","174","--","0","0","23,2","60,4","1.294","1.312","0,00","0,0","0,0","0","77","118","204","50% G / 50% D","158,0","220","164","450","0,0","0,0","10073","0","0","0","0:00","22,0","0:00","Non","02:29:16.86.3","1","30,0","--","--","--","02:29:04","02:33:56","33","350"
Cyclisme sur route,2022-06-18 12:13:06,false,"Marseille Cyclisme sur route","133,89","2.695","04:53:37","143","171","--","0","0","27,4","64,9","1.701","1.709","0,00","0,0","0,0","0","81","126","186","51% G / 49% D","257,3","228","153","688","0,0","0,0","21540","0","0","0","0:00","20,0","0:00","Non","04:53:37.16.2","1","37,0","--","--","--","04:53:07","05:22:29","23","713"
Cyclisme sur route,2022-06-17 07:08:00,false,"Marseille - Seuil prog 3x6-1","38,73","863","01:30:46","143","178","--","0","0","25,6","58,3","693","717","0,00","0,0","0,0","0","79","125","215","51% G / 49% D","105,8","214","159","500","0,0","0,0","6200","0","0","0","0:00","16,0","0:00","Non","00:00.00","11","24,0","--","--","--","01:03:03","01:31:03","45","314"
Cyclisme,2022-06-15 07:16:49,false,"Seuil prog 3x6-1","0,00","618","00:58:56","146","180","4,4","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","11","0,0","--","--","--","00:00:00","00:58:56","--","--"
Cyclisme sur route,2022-06-13 07:56:35,false,"Marseille Cyclisme sur route","40,82","862","01:47:31","0","0","--","0","0","22,8","59,7","696","707","0,00","0,0","0,0","0","85","127","156","52% G / 49% D","66,1","176","134","381","0,0","0,0","8550","0","0","0","0:00","21,0","0:00","Non","01:47:31.49.8","1","26,0","--","--","--","01:47:29","01:55:21","69","345"
Cyclisme sur route,2022-06-12 07:34:28,false,"Vaison-la-Romaine Cyclisme sur route","150,56","3.539","06:08:34","153","176","--","0","0","24,5","74,9","3.188","3.220","0,00","0,0","0,0","0","80","142","190","51% G / 49% D","337,2","227","160","753","0,0","0,0","26129","0","0","0","0:00","16,0","0:00","Non","06:08:34.31","1","38,0","--","--","--","06:07:57","06:26:09","212","1.813"
Cyclisme sur route,2022-06-10 09:17:15,false,"Marseille - Seuil prog 3x5-1","36,15","808","01:22:04","144","175","--","0","0","26,4","62,6","641","668","0,00","0,0","0,0","0","83","119","215","51% G / 49% D","95,8","208","165","659","0,0","0,0","6028","0","0","0","0:00","19,0","0:00","Non","01:00.00","12","27,0","--","--","--","01:22:01","01:22:52","39","312"
Cyclisme sur route,2022-06-09 08:09:15,false,"Marseille - Seuil prog 3x5-1","37,48","869","01:28:57","146","176","--","0","0","25,3","64,8","676","699","0,00","0,0","0,0","0","85","121","212","51% G / 49% D","101,7","207","164","540","0,0","0,0","6752","0","0","0","0:00","17,0","0:00","Non","01:00.00","12","20,0","--","--","--","01:28:54","01:30:57","61","341"
Cyclisme sur route,2022-06-02 12:40:20,false,"Marseille Cyclisme sur route","50,31","1.180","01:51:41","144","171","--","0","0","27,0","63,9","852","880","0,00","0,0","0,0","0","83","122","207","50% G / 50% D","121,6","223","177","647","0,0","0,0","8556","0","0","0","0:00","22,0","0:00","Non","03:56.25","9","34,0","--","--","--","01:51:38","01:55:21","27","329"
Cyclisme sur route,2022-05-31 10:37:36,false,"Marseille Cyclisme sur route","65,22","1.563","02:24:13","144","171","--","0","0","27,1","59,4","1.152","1.171","0,00","0,0","0,0","0","83","124","211","50% G / 50% D","162,4","225","181","700","0,0","0,0","11373","0","0","0","0:00","21,0","0:00","Non","02:24:13.27.5","1","29,0","--","--","--","02:24:09","02:25:56","29","387"
Cyclisme sur route,2022-05-30 11:21:14,false,"Marseille - FSM 6X4min","37,97","875","01:28:37","0","0","--","0","0","25,7","63,5","694","714","0,00","0,0","0,0","0","76","127","198","50% G / 50% D","87,4","198","167","482","0,0","0,0","6339","0","0","0","0:00","21,0","0:00","Non","00:08.77.4","21","31,0","--","--","--","01:27:59","01:28:38","27","299"
Cyclisme sur route,2022-05-28 09:03:50,false,"Agde Cyclisme sur route","112,52","2.429","03:59:18","148","168","--","0","0","28,2","57,7","956","933","0,00","0,0","0,0","0","88","126","192","51% G / 49% D","224,3","208","169","704","0,0","0,0","19784","0","0","0","0:00","21,0","0:00","Non","03:59:17.89.1","1","32,0","--","--","--","03:59:08","04:05:43","19","412"
Cyclisme sur route,2022-05-26 17:10:35,false,"Agde - FSM 6X3min","38,33","777","01:19:27","0","0","--","0","0","29,0","55,0","215","211","0,00","0,0","0,0","0","82","137","193","51% G / 49% D","74,7","187","165","565","0,0","0,0","6197","0","0","0","0:00","21,0","0:00","Non","00:14.94.9","23","28,0","--","--","--","01:19:16","01:22:10","-13","28"
Cyclisme sur route,2022-05-25 11:12:26,false,"Marseille Cyclisme sur route","59,86","1.372","02:13:48","142","176","--","0","0","26,8","57,7","972","1.005","0,00","0,0","0,0","0","86","119","205","52% G / 48% D","143,2","214","171","597","0,0","0,0","10874","0","0","0","0:00","21,0","0:00","Non","05:30.35","6","29,0","--","--","--","02:13:42","02:16:31","43","349"
Cyclisme,2022-05-24 07:06:02,false,"FSM 6X3min","0,00","488","00:45:58","144","176","3,7","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:06.65.1","20","0,0","--","--","--","00:00:00","00:45:58","--","--"
Cyclisme sur route,2022-05-21 08:12:09,false,"Bédoin Cyclisme sur route","138,09","3.965","07:06:25","149","174","--","0","0","19,4","65,8","4.176","4.155","0,00","0,0","0,0","0","76","122","188","50% G / 50% D","380,9","226","155","598","0,0","0,0","27671","0","0","0","0:00","15,0","0:00","Non","07:06:25.00.7","1","35,0","--","--","--","07:04:59","07:50:20","270","1.800"
Cyclisme sur route,2022-05-16 11:47:53,false,"Marseille Cyclisme sur route","40,86","920","01:35:49","0","0","--","0","0","25,6","61,1","703","713","0,00","0,0","0,0","0","82","119","194","50% G / 50% D","91,0","200","160","817","0,0","0,0","7453","0","0","0","0:00","18,0","0:00","Non","05:01.54.9","3","31,0","--","--","--","01:35:48","01:35:49","57","327"
Cyclisme sur route,2022-05-14 07:47:55,false,"Gémenos Cyclisme sur route","144,94","3.387","05:52:24","144","175","--","0","0","24,7","62,9","2.731","2.727","0,00","0,0","0,0","0","80","129","195","51% G / 49% D","340,2","240","160","757","0,0","0,0","24941","0","0","0","0:00","9,0","0:00","Non","05:52:23.95.7","1","34,0","--","--","--","05:51:52","06:20:17","151","719"
Cyclisme sur route,2022-05-13 11:52:37,false,"Marseille Cyclisme sur route","26,19","596","00:58:30","0","0","--","0","0","26,9","58,8","444","445","0,00","0,0","0,0","0","81","118","210","50% G / 50% D","65,2","215","170","761","0,0","0,0","4482","0","0","0","0:00","18,0","0:00","Non","58:30.14.9","1","26,0","--","--","--","00:58:29","00:58:30","60","334"
Cyclisme,2022-05-11 07:19:49,false,"PMA 3x10X3030","0,00","638","01:00:03","147","174","4,2","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","64","0,0","--","--","--","00:00:00","01:00:03","--","--"
Cyclisme sur route,2022-05-09 11:16:33,false,"Marseille - PMA 3x10X3030","29,57","698","01:06:22","148","174","--","0","0","26,7","61,3","259","589","0,00","0,0","0,0","0","80","119","234","51% G / 49% D","91,7","215","183","683","0,0","0,0","4957","0","0","0","0:00","18,0","0:00","Non","00:00.00","64","28,0","--","--","--","00:57:44","01:07:10","39","244"
Cyclisme sur route,2022-05-07 07:17:49,false,"Marseille Cyclisme sur route","135,79","3.268","05:28:03","149","174","--","0","0","24,8","64,7","2.547","2.585","0,00","0,0","0,0","0","83","124","196","51% G / 49% D","321,1","248","166","481","0,0","0,0","25103","0","0","0","0:00","10,0","0:00","Non","05:28:02.64","1","26,0","--","--","--","05:27:52","05:35:27","60","738"
Cyclisme sur route,2022-05-06 11:26:12,false,"Marseille - FSM 6X4min","38,99","897","01:30:20","0","0","--","0","0","25,9","60,2","730","767","0,00","0,0","0,0","0","76","123","208","50% G / 50% D","98,7","205","168","631","0,0","0,0","6218","0","0","0","0:00","16,0","0:00","Non","01:00.00","21","23,0","--","--","--","01:30:09","01:34:33","27","303"
Cyclisme,2022-05-04 07:22:59,false,"PMA 5X2","0,00","519","01:00:05","133","175","3,1","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","02:00.00","12","0,0","--","--","--","00:00:00","01:00:05","--","--"
Cyclisme sur route,2022-05-02 11:22:42,false,"Marseille - PMA 5X2","58,84","1.359","02:14:17","141","177","--","0","0","26,3","62,2","1.065","1.098","0,00","0,0","0,0","0","83","124","213","50% G / 50% D","154,8","229","169","651","0,0","0,0","10109","0","0","0","0:00","17,0","0:00","Non","02:00.00","13","25,0","--","--","--","02:13:47","02:14:19","14","323"
Cyclisme sur route,2022-04-29 14:18:43,false,"Marseille - PMA 2 - 5X1,30","78,15","1.807","02:54:39","0","0","--","0","0","26,8","62,2","1.333","1.450","0,00","0,0","0,0","0","85","122","215","51% G / 49% D","205,6","234","173","715","0,0","0,0","13441","0","0","0","0:00","17,0","0:00","Non","01:01.12.5","24","28,0","--","--","--","02:52:11","03:02:01","65","431"
Cyclisme sur route,2022-04-28 11:39:49,false,"Marseille - FSM 6X4min","68,59","1.607","02:36:02","0","0","--","0","0","26,4","61,8","1.213","1.247","0,00","0,0","0,0","0","83","121","199","52% G / 48% D","156,4","217","173","678","0,0","0,0","11921","0","0","0","0:00","20,0","0:00","Non","00:00.00","20","28,0","--","--","--","01:15:50","02:36:02","28","345"
Cyclisme sur route,2022-04-25 10:54:03,false,"Marseille Cyclisme sur route","64,43","1.526","02:27:42","142","182","--","0","0","26,2","66,8","1.105","1.110","0,00","0,0","0,0","0","84","138","209","51% G / 49% D","162,8","225","172","910","0,0","0,0","11719","0","0","0","0:00","15,0","0:00","Non","02:27:42.47.4","1","22,0","--","--","--","02:27:38","02:36:02","34","396"
Cyclisme sur route,2022-04-24 11:53:26,false,"Marseille - PMA 3 - 4X8 HT","30,80","750","01:13:34","0","0","--","0","0","25,1","59,1","557","633","0,00","0,0","0,0","0","81","119","220","52% G / 49% D","89,5","208","174","521","0,0","0,0","5343","0","0","0","0:00","10,0","0:00","Non","01:00.00","29","17,0","--","--","--","01:12:55","01:13:34","30","315"
Cyclisme sur route,2022-04-22 07:41:46,false,"Marseille Cyclisme sur route","116,29","2.728","04:40:33","141","178","--","0","0","24,9","72,6","2.202","2.169","0,00","0,0","0,0","0","80","145","199","51% G / 49% D","282,9","218","162","707","0,0","0,0","19978","0","0","0","0:00","9,0","0:00","Non","04:40:33.17.1","1","24,0","--","--","--","04:40:13","05:15:06","-81","356"
Cyclisme sur route,2022-04-20 11:52:55,false,"Marseille Cyclisme sur route","78,54","1.970","03:13:32","144","176","--","0","0","24,4","63,0","1.715","1.733","0,00","0,0","0,0","0","80","129","208","51% G / 49% D","212,6","225","170","636","0,0","0,0","14027","0","0","0","0:00","11,0","0:00","Non","17:58.12.5","3","17,0","--","--","--","03:13:26","03:18:51","9","344"
Cyclisme sur route,2022-04-19 08:02:25,false,"Marseille - Test PMA","19,82","449","00:47:25","143","178","--","0","0","25,1","58,4","349","355","0,00","0,0","0,0","0","85","125","224","51% G / 49% D","60,2","200","158","637","0,0","0,0","3431","0","0","0","0:00","7,0","0:00","Non","00:00.00","4","15,0","--","--","--","00:38:18","00:47:59","45","267"
Cyclisme sur route,2022-04-18 09:57:52,false,"Saint-Ferréol-d'Auroure - PMA 3 - 4X8 HT","40,27","894","01:23:11","151","174","--","0","0","29,0","50,5","413","387","0,00","0,0","0,0","0","91","127","223","51% G / 49% D","104,7","216","182","580","0,0","0,0","6927","0","0","0","0:00","11,0","0:00","Non","00:00.73.1","31","17,0","--","--","--","01:23:08","01:27:20","693","829"
Cyclisme sur route,2022-04-16 08:35:20,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","89,58","2.296","03:39:00","153","176","--","0","0","24,5","63,6","1.941","1.921","0,00","0,0","0,0","0","81","124","208","51% G / 49% D","241,4","241","175","511","0,0","0,0","15920","0","0","0","0:00","7,0","0:00","Non","03:38:59.90.1","1","23,0","--","--","--","03:38:30","03:54:20","448","813"
Cyclisme sur route,2022-04-14 14:13:49,false,"Marseille Cyclisme sur route","63,41","1.421","02:19:18","0","0","--","0","0","27,3","56,2","1.013","1.020","0,00","0,0","0,0","0","85","124","207","52% G / 48% D","150,8","216","170","812","0,0","0,0","10735","0","0","0","0:00","19,0","0:00","Non","02:19:18.10.2","1","31,0","--","--","--","02:19:16","02:21:17","70","401"
Cyclisme,2022-04-13 07:24:02,false,"PMA 6X45 HT","0,00","644","01:00:08","146","167","4,3","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:45.00","40","0,0","--","--","--","00:00:00","01:00:08","--","--"
Cyclisme sur route,2022-04-11 11:21:02,false,"Marseille - PMA 3x6X45","38,54","894","01:32:31","138","171","--","0","0","25,0","63,1","544","701","0,00","0,0","0,0","0","80","133","208","51% G / 49% D","101,6","209","164","605","0,0","0,0","6835","0","0","0","0:00","12,0","0:00","Non","00:00.00","40","20,0","--","--","--","00:54:39","01:32:50","50","333"
Cyclisme sur route,2022-04-10 07:08:02,false,"Marseille Cyclisme sur route","136,74","2.910","05:09:49","141","169","--","0","0","26,5","56,8","1.647","1.470","0,00","0,0","0,0","0","80","137","188","52% G / 48% D","279,0","206","157","633","0,0","0,0","22225","0","0","0","0:00","1,0","0:00","Non","05:09:48.78.9","1","21,0","--","--","--","05:09:19","05:41:03","14","537"
Cyclisme sur route,2022-04-08 11:12:54,false,"Marseille - PMA 5X30","41,81","965","01:37:39","145","175","--","0","0","25,7","64,0","552","607","0,00","0,0","0,0","0","81","123","221","51% G / 49% D","120,9","210","169","657","0,0","0,0","7296","0","0","0","0:00","17,0","0:00","Non","00:30.00","48","23,0","--","--","--","01:37:37","01:45:42","30","313"
Cyclisme,2022-04-06 07:20:39,false,"PMA 5X30 HT","0,00","656","01:00:00","147","170","4,4","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","45","0,0","--","--","--","00:00:00","01:00:00","--","--"
Cyclisme sur route,2022-03-31 08:36:28,false,"Marseille - Seuil 3x10","68,85","1.712","02:49:55","145","176","--","0","0","24,3","63,5","1.415","1.416","0,00","0,0","0,0","0","81","119","211","51% G / 49% D","185,8","215","166","641","0,0","0,0","11606","0","0","0","0:00","8,0","0:00","Non","06:16.54.9","9","18,0","--","--","--","02:48:49","02:56:45","27","342"
Vélo d'intérieur,2022-03-29 07:45:54,false,"Vélo d'intérieur","0,00","630","01:01:22","141","181","4,2","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","05:01.78.7","7","0,0","--","--","--","00:00:00","01:01:22","--","--"
Cyclisme sur route,2022-03-28 09:58:39,false,"Marseille Cyclisme sur route","69,39","1.538","02:44:30","134","159","--","0","0","25,3","59,5","1.242","1.248","0,00","0,0","0,0","0","79","120","186","52% G / 48% D","144,8","215","156","417","0,0","0,0","11979","0","0","0","0:00","15,0","0:00","Non","02:44:29.95","1","23,0","--","--","--","02:44:24","02:45:50","26","390"
Cyclisme sur route,2022-03-27 07:47:05,false,"Marseille Cyclisme sur route","83,39","1.887","03:10:39","144","177","--","0","0","26,2","61,1","1.298","1.321","0,00","0,0","0,0","0","82","125","201","51% G / 49% D","196,3","257","165","680","0,0","0,0","14019","0","0","0","0:00","11,0","0:00","Non","03:10:38.99.1","1","18,0","--","--","--","03:10:32","03:30:04","-61","650"
Cyclisme sur route,2022-03-25 10:40:19,false,"Marseille - Seuil 3x9","64,83","1.526","02:24:00","149","175","--","0","0","27,0","60,3","1.259","1.283","0,00","0,0","0,0","0","83","134","215","51% G / 49% D","169,2","230","177","784","0,0","0,0","11035","0","0","0","0:00","14,0","0:00","Non","06:01.62.5","9","21,0","--","--","--","02:23:44","02:25:40","100","414"
Vélo d'intérieur,2022-03-23 07:00:00,false,"Vélo d'intérieur Seuil 3X9","0,00","691","01:00:09","151","187","5,0","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","05:00.59.2","7","0,0","--","--","--","00:00:00","01:02:44","--","--"
Cyclisme sur route,2022-03-21 11:21:47,false,"Marseille - FSM 6X4min","64,29","1.469","02:35:17","135","164","--","0","0","24,8","60,8","1.225","1.206","0,00","0,0","0,0","0","78","124","197","50% G / 50% D","152,3","225","159","493","0,0","0,0","10860","0","0","0","0:00","13,0","0:00","Non","01:00.00","21","20,0","--","--","--","02:34:15","02:40:35","42","356"
Cyclisme sur route,2022-03-19 07:32:36,false,"Marseille Cyclisme sur route","105,27","2.071","03:47:22","136","176","--","0","0","27,8","68,3","1.377","1.362","0,00","0,0","0,0","0","81","129","202","50% G / 50% D","234,5","215","152","737","0,0","0,0","15989","0","0","0","0:00","8,0","0:00","Non","03:47:22.18","1","15,0","--","--","--","03:46:54","04:26:20","53","515"
Cyclisme sur route,2022-03-18 11:15:55,false,"Marseille - Seuil 3x8","71,09","1.783","02:50:47","146","176","--","0","0","25,0","63,0","1.492","1.517","0,00","0,0","0,0","0","83","137","213","51% G / 49% D","196,8","227","175","620","0,0","0,0","12944","0","0","0","0:00","11,0","0:00","Non","00:04.87.5","10","16,0","--","--","--","02:49:23","02:50:48","-14","324"
Cyclisme sur route,2022-03-17 12:14:05,false,"Marseille - Test PMA","20,15","452","00:46:09","138","179","--","0","0","26,2","57,6","352","361","0,00","0,0","0,0","0","85","121","224","51% G / 49% D","58,5","194","163","499","0,0","0,0","3550","0","0","0","0:00","15,0","0:00","Non","00:00.00","3","17,0","--","--","--","00:37:27","00:46:09","27","254"
Vélo d'intérieur,2022-03-16 07:30:00,false,"Seuil 3X8","0,00","639","01:02:53","142","184","4,0","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","06:01.27","8","0,0","--","--","--","00:00:00","01:02:53","--","--"
Cyclisme sur route,2022-03-14 11:49:24,false,"Marseille - FSM 8X3min","66,66","1.510","02:35:38","140","168","--","0","0","25,7","61,9","1.109","1.154","0,00","0,0","0,0","0","81","118","198","51% G / 49% D","154,1","211","163","460","0,0","0,0","11556","0","0","0","0:00","11,0","0:00","Non","01:00.00","27","16,0","--","--","--","02:34:22","02:36:02","58","404"
Cyclisme sur route,2022-03-14 11:41:38,false,"Marseille Cyclisme sur route","2,23","71","00:07:26,9","0","0","--","0","0","18,0","24,2","42","4","0,00","0,0","0,0","0","86","107","177","50% G / 50% D","5,6","--","160","354","0,0","0,0","615","0","0","0","0:00","15,0","0:00","Non","07:26.92.4","1","17,0","--","--","--","00:07:26,9","00:07:26,9","50","93"
Cyclisme sur route,2022-03-13 08:51:55,false,"Marseille Cyclisme sur route","26,11","1.174","01:48:45","152","174","--","0","0","14,4","39,4","645","603","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","Non","01:48:45.14","1","18,0","--","--","--","01:47:49","02:10:15","111","367"
Cyclisme sur route,2022-03-11 11:36:33,false,"Marseille - Seuil 3x6","42,85","1.014","01:40:20","144","178","--","0","0","25,6","60,9","738","769","0,00","0,0","0,0","0","82","117","215","50% G / 50% D","117,6","221","169","534","0,0","0,0","7463","0","0","0","0:00","10,0","0:00","Non","00:13.19.9","9","16,0","--","--","--","01:40:04","01:43:35","47","334"
